Condition_numeric,type,condition_category,Strain,corrected_individual_rate,corrected_individual_OD,order,Species,SILVA_phylum,SILVA_class,SILVA_order,SILVA_family,SILVA_genus,phylum_color,class_color,order_color,family_color
7,pH,pH 6.9,Bacteroides cellulosilyticus CRE21 DSM 14838,0.08056526,0.786,13,Bacteroides cellulosilyticus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides cellulosilyticus CRE21 DSM 14838,0.082437302,0.804,13,Bacteroides cellulosilyticus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides cellulosilyticus CRE21 DSM 14838,0.052325914,0.82,13,Bacteroides cellulosilyticus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides cellulosilyticus CRE21 DSM 14838,0.054263633,0.801,13,Bacteroides cellulosilyticus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides cellulosilyticus CRE21 DSM 14838,0.05360752,0.818,13,Bacteroides cellulosilyticus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides eggerthii ATCC 27754,0.004795481,0.086,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides eggerthii ATCC 27754,0.013618361,0.001,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides eggerthii ATCC 27754,0.005799144,0.116,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides eggerthii ATCC 27754,0.077796223,0.719,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides eggerthii ATCC 27754,0.068214201,0.732,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides eggerthii ATCC 27754,0.099855317,0.889,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides eggerthii ATCC 27754,0.023259712,0.422,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides eggerthii ATCC 27754,0.020658955,0.425,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides eggerthii ATCC 27754,0.097326645,0.747,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides eggerthii ATCC 27754,0.061786517,0.794,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides eggerthii ATCC 27754,0.086545906,0.789,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides eggerthii ATCC 27754,0.099326884,0.887,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides eggerthii ATCC 27754,0,0,14,Bacteroides eggerthii,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
9,pH,pH 4,Bacteroides fragilis 3_1_12 BEI HM-20,0,0,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
9,pH,pH 4,Bacteroides fragilis 3_1_12 BEI HM-20,0,0,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
9,pH,pH 4,Bacteroides fragilis 3_1_12 BEI HM-20,0,0,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
10,pH,pH 5.5,Bacteroides fragilis 3_1_12 BEI HM-20,0.015259081,0.331,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
10,pH,pH 5.5,Bacteroides fragilis 3_1_12 BEI HM-20,0.018673876,0.406,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
10,pH,pH 5.5,Bacteroides fragilis 3_1_12 BEI HM-20,0.017658331,0.408,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
11,pH,pH 6.9,Bacteroides fragilis 3_1_12 BEI HM-20,0.10848462,0.699,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
11,pH,pH 6.9,Bacteroides fragilis 3_1_12 BEI HM-20,0.079284258,0.749,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
11,pH,pH 6.9,Bacteroides fragilis 3_1_12 BEI HM-20,0.102607771,0.757,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
12,pH,pH 7.4,Bacteroides fragilis 3_1_12 BEI HM-20,0.04905043,0.555,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
12,pH,pH 7.4,Bacteroides fragilis 3_1_12 BEI HM-20,0.056684567,0.598,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
12,pH,pH 7.4,Bacteroides fragilis 3_1_12 BEI HM-20,0.049661935,0.566,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,osmolality,lowest osmolality,Bacteroides fragilis 3_1_12 BEI HM-20,0.038626209,0.63,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,osmolality,lowest osmolality,Bacteroides fragilis 3_1_12 BEI HM-20,0.038037595,0.598,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,osmolality,lowest osmolality,Bacteroides fragilis 3_1_12 BEI HM-20,0.049176443,0.664,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,osmolality,~890 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0.024420826,0.572,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,osmolality,~890 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0.021900088,0.633,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,osmolality,~890 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0.025001634,0.712,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0.005938972,0.372,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0.022651909,0.357,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0.024233938,0.421,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~1800 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0,0,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~1800 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0,0,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~1800 mOsm/kg,Bacteroides fragilis 3_1_12 BEI HM-20,0,0,15,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides fragilis ATCC 25285,0,0,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides fragilis ATCC 25285,0,0,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides fragilis ATCC 25285,0,0,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides fragilis ATCC 25285,0.014477769,0.304,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides fragilis ATCC 25285,0.014946632,0.321,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides fragilis ATCC 25285,0.026191249,0.444,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides fragilis ATCC 25285,0.103185881,1.006,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides fragilis ATCC 25285,0.113173028,1.039,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides fragilis ATCC 25285,0.134691123,1.102,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides fragilis ATCC 25285,0.111023473,1.005,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides fragilis ATCC 25285,0.128138762,1.053,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides fragilis ATCC 25285,0.166622459,1.145,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides fragilis ATCC 25285,0.092713695,0.985,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides fragilis ATCC 25285,0.106239952,1.027,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides fragilis ATCC 25285,0.138809659,1.102,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides fragilis ATCC 25285,0.080168727,0.875,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides fragilis ATCC 25285,0.072132365,0.865,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides fragilis ATCC 25285,0.100852309,0.99,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis ATCC 25285,0.016704181,0.405,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis ATCC 25285,0.01698989,0.401,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis ATCC 25285,0.040643016,0.646,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides fragilis ATCC 25285,0,0,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides fragilis ATCC 25285,0,0,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides fragilis ATCC 25285,0,0,16,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides fragilis CL07T12C05 HM-710,0,0,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides fragilis CL07T12C05 HM-710,0,0,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
5,pH,pH 4,Bacteroides fragilis CL07T12C05 HM-710,0,0,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides fragilis CL07T12C05 HM-710,0.004458667,0.04,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides fragilis CL07T12C05 HM-710,0.019345478,0.002,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
6,pH,pH 5.5,Bacteroides fragilis CL07T12C05 HM-710,0.005886203,0.066,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides fragilis CL07T12C05 HM-710,0.050372814,0.933,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides fragilis CL07T12C05 HM-710,0.045981462,0.934,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
7,pH,pH 6.9,Bacteroides fragilis CL07T12C05 HM-710,0.066447857,0.995,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides fragilis CL07T12C05 HM-710,0.050036941,0.8,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides fragilis CL07T12C05 HM-710,0.056803368,0.833,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
8,pH,pH 7.4,Bacteroides fragilis CL07T12C05 HM-710,0.115367152,0.941,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides fragilis CL07T12C05 HM-710,0.048967761,0.949,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides fragilis CL07T12C05 HM-710,0.054654541,0.924,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides fragilis CL07T12C05 HM-710,0.060829158,1.044,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0.017024101,0.585,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0.018331906,0.505,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0.02704661,0.723,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0.002395701,0.053,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0.057724685,0.001,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0.002617542,0.055,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0,0,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0,0,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides fragilis CL07T12C05 HM-710,0,0,17,Bacteroides fragilis,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0,0,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0,0,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
1,osmolality,~1170 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0,0,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0,0,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0,0,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
2,osmolality,~1800 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0,0,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides ovatus 3_8_47FAA HM-222,0.08773117,1.149,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides ovatus 3_8_47FAA HM-222,0.090496086,1.122,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
3,osmolality,lowest osmolality,Bacteroides ovatus 3_8_47FAA HM-222,0.0870458,1.138,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0.075669057,1.049,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
4,osmolality,~890 mOsm/kg,Bacteroides ovatus 3_8_47FAA HM-222,0.067015524,1.011,18,Bacteroides ovatus,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#009e73,#1aa881,#31b18e,#5fc2a7
