Condition_numeric,type,condition_category,Strain,category_magnitude,delta_pH,corrected_individual_rate,corrected_individual_OD,corrected_lag_time,condition,SILVA_phylum,SILVA_class,SILVA_order,SILVA_family,SILVA_genus,,,,
3,osmolality,condition 4: ~1800 mOsm/kg,Bifidobacterium pseudolongum NM87,4,0,0,0,0,1824,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
9,pH,pH 4,Bifidobacterium pseudolongum NM87,4,0,0,0,0,4,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
9,pH,pH 4,Bifidobacterium pseudolongum NM87,4,0,0,0,0,4,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
9,pH,pH 4,Bifidobacterium pseudolongum NM87,4,0,0,0,0,4,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
10,pH,pH 5.5,Bifidobacterium pseudolongum NM87,3,0.700136425,0.150206769,0.526,0.700136425,5.6,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
10,pH,pH 5.5,Bifidobacterium pseudolongum NM87,3,0.911999644,0.162331633,0.537,0.911999644,5.6,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
10,pH,pH 5.5,Bifidobacterium pseudolongum NM87,3,0,0.186897303,0.533,0,5.6,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
11,pH,pH 6.9,Bifidobacterium pseudolongum NM87,2,0.597275395,0.218866419,0.581,0.597275395,6.7,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
11,pH,pH 6.9,Bifidobacterium pseudolongum NM87,2,0,0.234675613,0.584,0,6.7,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
11,pH,pH 6.9,Bifidobacterium pseudolongum NM87,2,0.744893447,0.318619245,0.624,0.744893447,6.7,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
12,pH,pH 7.4,Bifidobacterium pseudolongum NM87,1,0,0,0,0,7.5,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
12,pH,pH 7.4,Bifidobacterium pseudolongum NM87,1,0,0,0,0,7.5,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
12,pH,pH 7.4,Bifidobacterium pseudolongum NM87,1,0,0,0,0,7.5,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,,,
3,osmolality,condition 2: ~890 mOsm/kg,Blautia producta ATCC 27340,2,,0.384677427,1.174,13.33277778,896,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
3,osmolality,condition 2: ~890 mOsm/kg,Blautia producta ATCC 27340,2,,0.400566865,1.182,13.11111111,896,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
3,osmolality,condition 2: ~890 mOsm/kg,Blautia producta ATCC 27340,2,,0.403884418,1.144,13.77611111,896,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Blautia producta ATCC 27340,3,,0.138839732,0.934,46.1425,1173,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Blautia producta ATCC 27340,3,,0.148000718,0.941,0.033888889,1173,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Blautia producta ATCC 27340,3,,0.150200555,0.943,47.02916667,1173,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Blautia producta ATCC 27340,4,0,0,0,0,1823,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Blautia producta ATCC 27340,4,0,0,0,0,1823,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Blautia producta ATCC 27340,4,0,0,0,0,1823,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
5,pH,pH 4,Blautia producta ATCC 27340,4,0,0,0,0,4,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
5,pH,pH 4,Blautia producta ATCC 27340,4,0,0,0,0,4,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
5,pH,pH 4,Blautia producta ATCC 27340,4,0,0,0,0,4,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
6,pH,pH 5.5,Blautia producta ATCC 27340,3,,0.136699288,0.646,16.6575,5.5,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
6,pH,pH 5.5,Blautia producta ATCC 27340,3,,0.147151097,0.655,16.43583333,5.5,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
6,pH,pH 5.5,Blautia producta ATCC 27340,3,,0.170523869,0.662,16.43583333,5.5,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
7,pH,pH 6.9,Blautia producta ATCC 27340,2,,0.645891273,1.408,7.126666667,6.9,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
7,pH,pH 6.9,Blautia producta ATCC 27340,2,,0.669862221,1.448,6.905,6.9,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
7,pH,pH 6.9,Blautia producta ATCC 27340,2,,0.694147376,1.439,7.126666667,6.9,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
8,pH,pH 7.4,Blautia producta ATCC 27340,1,,0.780639541,1.493,6.683333333,7.4,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
8,pH,pH 7.4,Blautia producta ATCC 27340,1,,0.838464763,1.463,6.905,7.4,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
8,pH,pH 7.4,Blautia producta ATCC 27340,1,,0.868841362,1.425,6.905,7.4,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,,,
3,osmolality,condition 1: lowest osmolality,Catenibacterium mitsuokai RCA14-39 DSM 15897,1,1.332158717,0.381470778,1.249,2.471666667,446,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
3,osmolality,condition 1: lowest osmolality,Catenibacterium mitsuokai RCA14-39 DSM 15897,1,0,0.413566451,1.244,0.033888889,446,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
3,osmolality,condition 1: lowest osmolality,Catenibacterium mitsuokai RCA14-39 DSM 15897,1,1.347427805,0.478670444,1.416,0.033888889,446,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,2,0.118746699,0.012560491,0.005,0,891,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,2,0.127917382,0.100167689,0.004,73.85,891,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,2,0,0.228039087,0.125,0.033888889,891,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,3,0.256003723,0.212831943,1.023,55.89333333,1179,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,3,0,0.263474209,1.104,0.033888889,1179,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,3,0.98937054,0.264511265,1.146,44.36666667,1179,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,4,0,0.061387222,0.011,0.033888889,1784,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,4,-0.057290073,0.087558,0.002,91.36694444,1784,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Catenibacterium mitsuokai RCA14-39 DSM 15897,4,0.596544842,0.094107106,1.047,40.155,1784,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
5,pH,pH 4,Catenibacterium mitsuokai RCA14-39 DSM 15897,4,0,0,0,0,4,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
5,pH,pH 4,Catenibacterium mitsuokai RCA14-39 DSM 15897,4,0,0,0,0,4,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
5,pH,pH 4,Catenibacterium mitsuokai RCA14-39 DSM 15897,4,0,0,0,0,4,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
6,pH,pH 5.5,Catenibacterium mitsuokai RCA14-39 DSM 15897,3,0.610845467,0.008198476,0.01,1.363333333,5.5,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
6,pH,pH 5.5,Catenibacterium mitsuokai RCA14-39 DSM 15897,3,0.451939139,0.163642295,0.006,92.91888889,5.5,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
6,pH,pH 5.5,Catenibacterium mitsuokai RCA14-39 DSM 15897,3,0.354716345,0.253092424,0.11,4.023333333,5.5,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
7,pH,pH 6.9,Catenibacterium mitsuokai RCA14-39 DSM 15897,2,1.300983241,0.211658381,1.106,0.033888889,6.9,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
7,pH,pH 6.9,Catenibacterium mitsuokai RCA14-39 DSM 15897,2,1.347698652,0.459013699,1.447,3.801666667,6.9,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
7,pH,pH 6.9,Catenibacterium mitsuokai RCA14-39 DSM 15897,2,0,0.508742621,1.522,0.033888889,6.9,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
8,pH,pH 7.4,Catenibacterium mitsuokai RCA14-39 DSM 15897,1,0.762818377,0.033601492,0.125,2.915,8,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
8,pH,pH 7.4,Catenibacterium mitsuokai RCA14-39 DSM 15897,1,0.810992115,0.061779627,0.267,4.466666667,8,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
8,pH,pH 7.4,Catenibacterium mitsuokai RCA14-39 DSM 15897,1,0.84059029,0.144266222,0.372,2.693333333,8,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter portucalensis 30_2 HM-34,1,0,0.293396832,0.812,0.033888889,451,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter portucalensis 30_2 HM-34,1,0.241695687,0.331220838,0.971,0.92,451,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter portucalensis 30_2 HM-34,1,0.503328309,0.347938299,0.9,2.25,451,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,2,0.437094049,0.345110755,0.944,0.92,892,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,2,0.401989311,0.362901856,0.972,0.698333333,892,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,2,0.390692245,0.366323598,0.984,0.698333333,892,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,3,0.390230098,0.307131824,0.977,0.92,1180,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,3,0.46915782,0.325169332,1.007,0.698333333,1180,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,3,0.47907299,0.342036569,1.055,0.698333333,1180,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,4,0,0.177776425,0.858,0.033888889,1808,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,4,0.292668673,0.213215868,0.876,1.585,1808,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter portucalensis 30_2 HM-34,4,0.328912666,0.222764097,0.944,1.141666667,1808,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter portucalensis 30_2 HM-34,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter portucalensis 30_2 HM-34,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter portucalensis 30_2 HM-34,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter portucalensis 30_2 HM-34,3,0,0.012709223,0.061,4.245,5.4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter portucalensis 30_2 HM-34,3,0.614135944,0.013616179,0.079,4.023333333,5.4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter portucalensis 30_2 HM-34,3,0.686791427,0.014241766,0.077,5.131388889,5.4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter portucalensis 30_2 HM-34,2,0.369167636,0.363842879,1.023,0.698333333,6.7,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter portucalensis 30_2 HM-34,2,0.370878713,0.375520966,1.053,0.698333333,6.7,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter portucalensis 30_2 HM-34,2,0.368498424,0.379768673,1.072,0.698333333,6.7,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
8,pH,pH 7.4,Citrobacter portucalensis 30_2 HM-34,1,0.278345159,0.454944334,1.201,0.698333333,7.3,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
8,pH,pH 7.4,Citrobacter portucalensis 30_2 HM-34,1,0.338021967,0.455663667,1.212,0.698333333,7.3,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
8,pH,pH 7.4,Citrobacter portucalensis 30_2 HM-34,1,0.252765983,0.467083124,1.218,0.698333333,7.3,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter portucalensis 4_7_47CFAA HM-299,1,0.637228248,0.308895445,1.132,0.477222222,434,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter portucalensis 4_7_47CFAA HM-299,1,0,0.331044779,1.036,0.477222222,434,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter portucalensis 4_7_47CFAA HM-299,1,0.592041263,0.3374741,1.18,0.477222222,434,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,2,0.555048022,0.244163069,1.015,0.698611111,896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,2,0.553704664,0.30148778,1.033,0.477222222,896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,2,0.511685435,0.394182511,1.022,0.477222222,896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,3,0,0.103884265,0.817,0.477222222,1173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,3,0.563940267,0.195251518,1.004,0.477222222,1173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,3,0.49247252,0.398387617,0.954,0.477222222,1173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,4,0,0.062521888,0.541,0.920277778,1823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,4,0.325626316,0.073427971,0.62,0.920277778,1823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter portucalensis 4_7_47CFAA HM-299,4,0.465539667,0.074113441,0.571,1.141944444,1823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter portucalensis 4_7_47CFAA HM-299,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter portucalensis 4_7_47CFAA HM-299,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter portucalensis 4_7_47CFAA HM-299,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter portucalensis 4_7_47CFAA HM-299,3,0.587650888,0.010064116,0.103,1.585277778,5.5,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter portucalensis 4_7_47CFAA HM-299,3,0.519726786,0.011757906,0.118,1.585277778,5.5,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter portucalensis 4_7_47CFAA HM-299,3,0.575144287,0.012039146,0.119,1.806666667,5.5,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter portucalensis 4_7_47CFAA HM-299,2,0.558430215,0.283444208,1.098,0.477222222,6.9,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter portucalensis 4_7_47CFAA HM-299,2,0.597961074,0.298918346,1.157,0.477222222,6.9,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter portucalensis 4_7_47CFAA HM-299,2,0.590909529,0.327408016,1.095,0.477222222,6.9,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
8,pH,pH 7.4,Citrobacter portucalensis 4_7_47CFAA HM-299,1,0,0.384749602,1.191,0.477222222,7.4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
8,pH,pH 7.4,Citrobacter portucalensis 4_7_47CFAA HM-299,1,0.412980199,0.412690351,1.272,0.477222222,7.4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
8,pH,pH 7.4,Citrobacter portucalensis 4_7_47CFAA HM-299,1,0.397270199,0.477123778,1.291,0.477222222,7.4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter youngae ATCC 29220,1,0.651262561,0.351899384,1.337,0.477222222,434,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter youngae ATCC 29220,1,0.679434088,0.36797756,1.397,0.255555556,434,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
3,osmolality,condition 1: lowest osmolality,Citrobacter youngae ATCC 29220,1,0.671892424,0.372906777,1.412,0.255555556,434,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter youngae ATCC 29220,2,0,0.164538121,1.147,0.477222222,896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter youngae ATCC 29220,2,0.528247136,0.182336842,1.216,0.477222222,896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Citrobacter youngae ATCC 29220,2,0.494020797,0.193151763,1.267,0.477222222,896,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter youngae ATCC 29220,3,0.575945855,0.128223845,1.071,0.698611111,1173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter youngae ATCC 29220,3,0.610576307,0.165336422,1.073,0.477222222,1173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Citrobacter youngae ATCC 29220,3,0.548736213,0.166042341,1.162,0.477222222,1173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter youngae ATCC 29220,4,0,0.049314644,0.508,0.920277778,1823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter youngae ATCC 29220,4,0.456625785,0.107928312,0.58,0.698611111,1823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Citrobacter youngae ATCC 29220,4,0.499823956,0.130267574,0.545,1.363611111,1823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter youngae ATCC 29220,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter youngae ATCC 29220,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
5,pH,pH 4,Citrobacter youngae ATCC 29220,4,0,0,0,0,4,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter youngae ATCC 29220,3,0,0.008599029,0.086,2.028333333,5.5,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter youngae ATCC 29220,3,0.487129507,0.011016847,0.124,1.585277778,5.5,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
6,pH,pH 5.5,Citrobacter youngae ATCC 29220,3,0.526319967,0.013706067,0.109,1.363611111,5.5,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter youngae ATCC 29220,2,0.621830124,0.319985563,1.304,0.477222222,6.9,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter youngae ATCC 29220,2,0.591266989,0.320575546,1.349,0.255555556,6.9,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
7,pH,pH 6.9,Citrobacter youngae ATCC 29220,2,0.680829494,0.324920067,1.349,0.477222222,6.9,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,,,
